provider,upstream_region_code,upstream_region_name,in_site,site_value,upstream_url,checked_at,scope_class,status
aws,us-east-1,N. Virginia,yes,us-east-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,us-east-2,Ohio,yes,us-east-2,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,us-west-1,N. California,yes,us-west-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,us-west-2,Oregon,yes,us-west-2,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,af-south-1,Cape Town,yes,af-south-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-east-1,Hong Kong,yes,ap-east-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-east-2,Taipei,yes,ap-east-2,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-south-1,Mumbai,yes,ap-south-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-south-2,Hyderabad,yes,ap-south-2,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-northeast-1,Tokyo,yes,ap-northeast-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-northeast-2,Seoul,yes,ap-northeast-2,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-northeast-3,Osaka,yes,ap-northeast-3,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-1,Singapore,yes,ap-southeast-1,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-2,Sydney,yes,ap-southeast-2,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-3,Jakarta,yes,ap-southeast-3,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-4,Melbourne,yes,ap-southeast-4,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-5,Malaysia,yes,ap-southeast-5,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-6,New Zealand,yes,ap-southeast-6,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
aws,ap-southeast-7,Thailand,yes,ap-southeast-7,https://docs.aws.amazon.com/global-infrastructure/latest/regions/aws-regions.html,2026-05-16,commercial,GA
