tool,field,severity,site_value,upstream_value,upstream_url,last_verified,why_it_matters,concrete_fix
EC2 Observatory,ap-southeast-4 (Melbourne) family membership,P0,"59 families offered (data.json)","31 families (AWS regional doc)",https://docs.aws.amazon.com/ec2/latest/instancetypes/ec2-instance-regions.html,2026-05-16,"Region-availability is the site's core promise; Melbourne is ~2x over-claimed — a user picks an instance type that fails to launch","Regenerate per-region `in` membership from the AWS regional offerings doc; do not patch single entries"
EC2 Observatory,ap-southeast-4 trn1/trn2,P1,"not available","Trn1 + Trn2 listed for Melbourne",https://docs.aws.amazon.com/ec2/latest/instancetypes/ec2-instance-regions.html,2026-05-16,"False negative — Melbourne's only accelerated instances are missing entirely","Add ap-southeast-4 to trn1.in and trn2.in"
EC2 Observatory,header instance-type count,P2,"1,338 (data.json) / 791 (embedded fallback)","AWS advertises 850+ instance types (different metric)",https://aws.amazon.com/ec2/instance-types/,2026-05-16,"Site counts per-size SKUs; reads as comparable to AWS's 850+; embedded fallback (791) contradicts live (1,338)","Label precisely (e.g. '1,338 size variants / 196 families') and reconcile embedded snapshot with live"
EC2 Observatory,embedded REGIONS array,P2,"32 regions","34 regions (missing ap-east-2 Taipei, ap-southeast-6 New Zealand)",https://docs.aws.amazon.com/ec2/latest/instancetypes/ec2-instance-regions.html,2026-05-16,"If data.json fetch fails, fallback silently understates coverage","Add ap-east-2 and ap-southeast-6 to embedded REGIONS"
GCP Compute Index,C4A (Axion) region list,P1,"6 regions","27 regions (GA since 2025-01)",https://cloud.google.com/blog/products/compute/first-google-axion-processor-c4a-now-ga-with-titanium-ssd,2026-05-16,"C4A undercounted in every region view; even omits Jan-2025 launch regions; contradicts 'updated daily'","Replace C4A `in` with the current 27-region list"
GCP Compute Index,missing GA machine families,P2,"M4 / C4D / N4D / N4A absent","all GA per GCP docs (N4A = 2nd Axion/Arm series)",https://docs.cloud.google.com/compute/docs/general-purpose-machines,2026-05-16,"'Every Google Cloud machine type' meta over-claims; arch filter + counts incomplete","Add M4, C4D, N4D (x86) and N4A (arm/Axion) families"
GCP Compute Index,N4 description CPU gen,P3,"Sapphire Rapids","Emerald Rapids (Intel Xeon 5th gen)",https://docs.cloud.google.com/compute/docs/general-purpose-machines,2026-05-16,"Descriptive text only; category/arch unaffected","Change N4 desc to 'Emerald Rapids'"
GCP Compute Index,A3 ultragpu description,P3,"NVIDIA H100 80GB","a3-ultragpu uses NVIDIA H200",https://docs.cloud.google.com/compute/docs/accelerator-optimized-machines,2026-05-16,"Descriptive text only","Note a3-ultragpu = H200"
Azure VM Atlas,NDv4 vendor,P1,"Intel","AMD EPYC 7V12 (Rome) host CPU",https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/gpu-accelerated/nd-family,2026-05-16,"`vendor` drives the Intel/AMD filter chip — users filtering AMD miss NDv4, filtering Intel get a false hit","Change NDv4 vendor 'Intel' -> 'AMD' (azure-vm/index.html line 1369)"
Azure VM Atlas,confidential category coverage,P2,"only SGX + AMD SEV-SNP series","omits Intel TDX line (DCesv6/ECesv6)",https://learn.microsoft.com/en-us/azure/confidential-computing/virtual-machine-options,2026-05-16,"SGX-vs-TDX story is only half-shown; understates Azure confidential offering","Add DCesv6/ECesv6 as cat:confidential, vendor:Intel"
Azure VM Atlas,total VM-size count,P3,"325","unverifiable — Microsoft publishes no official total",https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/overview,2026-05-16,"Internally consistent but reads as Azure's full catalogue when it is a curated subset","Label '325 series tracked' or 'curated subset'"
Azure VM Atlas,confidential SGX vs SEV-SNP tagging,OK,"DCsv2/v3 = Intel SGX; DCasv5/ECasv5 = AMD SEV-SNP","correct — matches Microsoft docs",https://learn.microsoft.com/en-us/azure/confidential-computing/virtual-machine-solutions-sgx,2026-05-16,"Audit's central question — no conflation found","None"
OCI Compute,BM.GPU.B200.8 vendor,P1,"AMD","Intel Xeon Emerald Rapids 8592+ host CPU",https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm,2026-05-16,"`vendor` field is the filter facet — wrong value mis-buckets B200 under AMD","Change vendor 'AMD' -> 'Intel'"
OCI Compute,BM.GPU.H100.8 vendor,P1,"AMD","Intel Xeon Sapphire Rapids 8480+ host CPU",https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm,2026-05-16,"Same — H100.8 host is Intel, not AMD","Change vendor 'AMD' -> 'Intel'"
OCI Compute,VM.Standard.E4.Flex description,P2,"AMD EPYC Rome","AMD EPYC Milan (3rd gen)",https://blogs.oracle.com/cloud-infrastructure/post/announcing-oracle-cloud-compute-e4-platform-on-third-gen-amd-epyc-processors,2026-05-16,"Rome=2nd gen, Milan=3rd gen — misleads on instance generation","Change desc to 'AMD EPYC Milan (3rd gen)'"
OCI Compute,B200 GA claim,OK,"listed as a normal family","correct — B200 is GA on OCI, not preview",https://www.oracle.com/cloud/compute/gpu/,2026-05-16,"Audit target — claim holds","None (optionally drop 'scarce' from desc)"
OVH Instance Catalogue,REGIONS — Paris (PAR),P1,"absent","PAR is a live OVH Public Cloud region (flagship 3-AZ)",https://us.ovhcloud.com/public-cloud/regions-availability/,2026-05-16,"A major Public Cloud region missing from a region x instance cross-reference; also diverges from the Region Map which DOES list PAR","Add PAR region row + append 'PAR' to family `in` arrays"
OVH Instance Catalogue,Milan since-year,P3,"2024","2025 (Milan PC region launched end-2025)",https://corporate.ovhcloud.com/en/newsroom/news/ovhcloud-expansion-italy/,2026-05-16,"Year off by one","Change Milan since 2024 -> 2025"
